DATE,PPIF,PPID,PPIMPF,PPIS,URATE,CBPR,CCI,CSI,MDCSP
6/1/1991,104.1,112.1,119.1,100,7.00%,5.75%,99.50571,82.1,32.875
7/1/1991,101,113.6,118.6,100,6.80%,5.75%,99.56697,82.9,32.75
8/1/1991,102.8,115.1,114.4,98.4,6.60%,5.50%,99.53133,82,32.625
9/1/1991,104.2,115.9,112.3,98.4,6.50%,5.25%,99.33176,83,35
10/1/1991,106.4,119.3,113.3,98.1,6.50%,5.00%,98.85688,78.3,34.75
11/1/1991,105,119.8,110.9,99.8,6.70%,4.75%,98.26831,69.1,33.625
12/1/1991,108.3,120,110,100.5,6.90%,4.00%,97.92201,68.2,38
1/1/1992,112.3,118.3,109,103.4,8.10%,4.00%,97.87341,67.5,43.5
2/1/1992,116,116,110.8,101.7,8.20%,4.00%,98.11772,68.8,40.5
3/1/1992,113.7,115,112.2,101.7,7.80%,4.00%,98.55606,76,39.875
4/1/1992,113.1,115.4,113.5,101.6,7.20%,3.75%,98.90428,77.2,44.375
5/1/1992,112.5,116.9,113.7,101.1,7.30%,3.75%,99.10254,79.2,46.875
6/1/1992,113.6,118.7,113.5,101,8.00%,3.75%,99.10838,80.4,46
7/1/1992,110.3,119.4,112.6,102,7.70%,3.25%,98.93406,76.6,43.875
8/1/1992,107.4,120,111.8,102.4,7.40%,3.25%,98.78197,76.1,42.5
9/1/1992,109.8,120,111.9,102.7,7.30%,3.00%,98.77151,75.6,44.375
10/1/1992,109.9,119.4,112.1,102.6,6.90%,3.00%,99.03223,73.3,45.875
11/1/1992,110,118.7,111,102.7,7.10%,3.00%,99.65543,85.3,49
12/1/1992,109.4,117.4,113.8,102.8,7.10%,3.00%,100.1626,91,48.75
1/1/1993,111.5,116.4,114.3,105.4,8.00%,3.00%,100.2952,89.3,48.625
2/1/1993,112.1,115.4,115.2,105.4,7.80%,3.00%,100.1795,86.6,50.625
3/1/1993,111.7,115,116.7,105.3,7.40%,3.00%,99.99264,85.9,52.875
4/1/1993,112.7,117.2,118,105.4,6.90%,3.00%,99.76138,85.6,48.125
5/1/1993,111,118.5,118.7,109.5,6.80%,3.00%,99.46599,80.3,49.75
6/1/1993,110.7,119.5,117.6,109.7,7.20%,3.00%,99.23627,81.5,49.125
7/1/1993,110.2,119.2,115,109.6,7.00%,3.00%,99.02283,77,51.5
8/1/1993,112.5,117.9,114.3,109.6,6.60%,3.00%,98.96812,77.3,53.75
9/1/1993,109.8,118.4,115.2,110,6.40%,3.00%,99.08984,77.9,51.875
10/1/1993,112.6,119,114.4,110.7,6.40%,3.00%,99.37108,82.7,57.625
11/1/1993,113.3,120.3,113.5,110.5,6.20%,3.00%,99.70917,81.2,58.625
12/1/1993,115.6,121,112.5,110.3,6.10%,3.00%,100.1998,88.2,57
1/1/1994,115.5,120.3,113.9,110.6,7.30%,3.00%,100.6223,94.3,60.75
2/1/1994,115.2,119.9,114.2,110.8,7.10%,3.25%,100.7731,93.2,60.625
3/1/1994,114.4,120.6,116.7,110.9,6.80%,3.50%,100.7623,91.5,56.875
4/1/1994,114,121.4,116.1,110.8,6.20%,3.75%,100.7326,92.6,60
5/1/1994,114.7,121.2,114,111.6,5.90%,4.25%,100.6699,92.8,62
6/1/1994,112.9,118.7,112,111.8,6.20%,4.25%,100.5632,91.2,28.875
7/1/1994,110,117.1,110.1,112.2,6.20%,4.25%,100.4905,89,27.125
8/1/1994,109.5,118.2,112.3,113,5.90%,4.75%,100.5366,91.7,28.25
9/1/1994,113.8,118.8,110.8,113.4,5.60%,4.75%,100.6075,91.5,26.375
10/1/1994,115.4,119.2,109.3,117.5,5.40%,4.75%,100.7019,92.7,28.875
11/1/1994,115.1,119.4,109.1,117.9,5.30%,5.50%,100.8166,91.6,28.375
12/1/1994,115.3,118.6,108.1,118.4,5.10%,5.50%,100.9937,95.1,29.25
1/1/1995,114.9,117.1,111,118.3,6.20%,5.50%,101.076,97.6,32.625
2/1/1995,113.7,117.6,112.8,118.4,5.90%,6.00%,100.9427,95.1,33.25
3/1/1995,113.5,118.3,112.8,118.3,5.70%,6.00%,100.7208,90.3,34.125
4/1/1995,114.3,118.1,110.4,118.4,5.60%,6.00%,100.6247,92.5,35
5/1/1995,116.3,117.7,108.5,118.9,5.50%,6.00%,100.612,89.8,37.875
6/1/1995,119.2,117.2,109.2,124.9,5.80%,6.00%,100.7394,92.7,39.125
7/1/1995,124.3,118,111.9,128.8,5.90%,5.75%,100.8571,94.4,38.625
8/1/1995,124.1,119,112.8,128.9,5.60%,5.75%,100.8231,96.2,36.5
9/1/1995,125.9,120.5,112.3,129.1,5.40%,5.75%,100.5853,88.9,38.25
10/1/1995,127.6,122.6,113.2,129.5,5.20%,5.75%,100.4282,90.2,41
11/1/1995,127.8,125,113.8,129.6,5.30%,5.75%,100.3501,88.2,44.625
12/1/1995,128.5,125,112.5,130.1,5.20%,5.50%,100.3742,91,45.125
1/1/1996,127.4,124.1,111.5,130.8,6.30%,5.25%,100.3905,89.3,50.25
2/1/1996,131.5,123.4,112,131.3,6.00%,5.25%,100.4619,88.5,50
3/1/1996,130.8,17.9,111.4,131.8,5.80%,5.25%,100.6072,93.7,48
4/1/1996,131.4,17.7,111.2,135.6,5.40%,5.25%,100.6358,92.7,47.875
5/1/1996,143.7,17.4,113.1,135.9,5.40%,5.25%,100.6152,89.4,48.125
6/1/1996,137.1,17,116.6,135.4,5.50%,5.25%,100.7235,92.4,46.75
7/1/1996,133.1,16.8,118,135,5.60%,5.25%,100.8826,94.7,46.375
8/1/1996,128.5,16.6,121.1,135.1,5.10%,5.25%,101.0025,95.3,46.375
9/1/1996,125.7,16.7,118.9,135.7,5.00%,5.25%,101.0931,94.7,47.375
10/1/1996,127.6,17,121,136.3,4.90%,5.25%,101.215,96.5,44.5
11/1/1996,125.4,17.6,121.7,135.7,5.00%,5.25%,101.3186,99.2,46.75
12/1/1996,125,18,121.5,136.2,5.00%,5.25%,101.3339,96.9,45.375
1/1/1997,124.1,18.2,119.1,138.8,5.90%,5.25%,101.3845,97.4,45.5
2/1/1997,124.1,18.7,116.7,140.2,5.70%,5.25%,101.5021,99.7,43.25
3/1/1997,123,18.4,119.5,140.5,5.50%,5.50%,101.6345,100,47.25
4/1/1997,125.2,18.6,118.9,140.2,4.80%,5.50%,101.7989,101.4,53.5
5/1/1997,124.6,18.5,121.6,140.5,4.70%,5.50%,101.9846,103.2,50.25
6/1/1997,123.1,18.3,119.3,140.9,5.20%,5.50%,102.1538,104.5,48.3125
7/1/1997,120.4,17.2,119.4,141.8,5.00%,5.50%,102.2677,107.1,53.75
8/1/1997,121,17,120.8,143.5,4.80%,5.50%,102.2703,104.4,47.3125
9/1/1997,121.9,17.1,118.9,144.9,4.70%,5.50%,102.2812,106,47.625
10/1/1997,120.5,17.2,118.2,145.4,4.40%,5.50%,102.2743,105.6,44.8125
11/1/1997,119.9,18.4,116.9,146.3,4.30%,5.50%,102.2559,107.2,48.5
12/1/1997,119.6,18.7,114.9,147.1,4.40%,5.50%,102.2244,102.1,47.75
1/1/1998,117.6,18.8,112.3,146.2,5.20%,5.50%,102.3766,106.6,47.125
2/1/1998,118.2,19.2,113.3,145.7,5.00%,5.50%,102.5394,110.4,54.5625
3/1/1998,120.1,18.8,111.5,145.7,5.00%,5.50%,102.547,106.5,60
4/1/1998,119.2,18.5,112.3,146.3,4.10%,5.50%,102.5256,108.7,61.875
5/1/1998,119.1,18.2,115.1,146,4.20%,5.50%,102.4268,106.5,65.625
6/1/1998,117.3,17.6,115.6,145.7,4.70%,5.50%,102.3081,105.6,69
7/1/1998,116.7,17.4,114.9,145.4,4.70%,5.50%,102.1723,105.2,66.8125
8/1/1998,114.5,17.4,116.8,145.5,4.50%,5.50%,101.9805,104.4,56.375
9/1/1998,114,18,113.9,145.7,4.40%,5.25%,101.7405,100.9,59.6875
10/1/1998,117.1,18.7,111.7,145.8,4.20%,5.00%,101.6048,97.4,67.0625
11/1/1998,117.8,19,111.2,145.7,4.10%,4.75%,101.698,102.7,70.0625
12/1/1998,116.1,18.8,107.9,145.9,4.00%,4.75%,101.8405,100.5,76.8125
1/1/1999,116.3,19,110.5,145.3,4.80%,4.75%,102.0795,103.9,78.8125
2/1/1999,114.8,19.2,109.8,145.4,4.70%,4.75%,102.2871,108.1,85
3/1/1999,116,19,112,147,4.40%,4.75%,102.3223,105.7,45.3125
4/1/1999,113.8,19.1,110,146.8,4.10%,4.75%,102.3175,104.6,42.375
5/1/1999,114.5,19,114.1,147.8,4.00%,4.75%,102.361,106.8,38.5
6/1/1999,114.8,18.5,115.6,147.9,4.50%,5.00%,102.372,107.3,41.125
7/1/1999,113.7,18.2,114,147.6,4.50%,5.00%,102.3167,106,41.6875
8/1/1999,115.3,18.4,116.5,147.6,4.20%,5.25%,102.2553,104.5,41.375
9/1/1999,114.7,18,117.8,147.8,4.10%,5.25%,102.245,107.2,43.25
10/1/1999,113.6,18.2,117.1,147.7,3.80%,5.25%,102.2245,103.2,41.25
11/1/1999,114,18.5,116.2,148.6,3.80%,5.50%,102.342,107.2,45.75
